Average Delivery Rating (a1),Average Orders per month (a2),"""Delighted Members"" Purchase",,,,B<20,B>=20,,
1.5,11,Yes,,yes,0.5,Yes,FALSE,0.248888889,
2.5,11,No,,no,0.5,No,FALSE,0.497777778,0.002222222
2.5,11,No,,gi,0.5,No,FALSE,,
3.5,11,No,,,,No,FALSE,,
3.5,11,No,,,,No,FALSE,,
4.5,11,Yes,,,,Yes,FALSE,,
1.5,13,Yes,,,,Yes,FALSE,,
2.5,13,No,,,,No,FALSE,,
2.5,13,No,,,,No,FALSE,,
3.5,13,No,,,,No,FALSE,,
3.5,13,No,,,,No,FALSE,,
4.5,13,No,,,,No,FALSE,,
1.5,15,Yes,,,,Yes,FALSE,,
2.5,15,No,,,,No,FALSE,,
2.5,15,No,,,,No,FALSE,,
3.5,15,No,,,,No,FALSE,,
3.5,15,No,,,,No,FALSE,,
4.5,15,Yes,,,,Yes,FALSE,,
1.5,27,No,,,,FALSE,No,,
2.5,27,Yes,,,,FALSE,Yes,,
2.5,27,Yes,,,,FALSE,Yes,,
3.5,27,Yes,,,,FALSE,Yes,,
4.5,27,Yes,,,,FALSE,Yes,,
4.5,27,Yes,,,,FALSE,Yes,,
1.5,39,No,,,,FALSE,No,,
2.5,39,Yes,,,,FALSE,Yes,,
2.5,39,Yes,,,,FALSE,Yes,,
3.5,39,Yes,,,,FALSE,Yes,,
4.5,39,Yes,,,,FALSE,Yes,,
4.5,39,Yes,,,,FALSE,Yes,,
